FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
2018-01-01,9E,ORF,1240,1232.0,-8.0,1357.0,-22.0,85.0,386.0
2018-01-01,9E,DFW,1330,1354.0,24.0,1519.0,24.0,85.0,292.0
2018-01-01,9E,STL,600,553.0,-7.0,835.0,-10.0,102.0,503.0
2018-01-01,9E,MIA,1208,1216.0,8.0,1313.0,7.0,57.0,152.0
2018-01-01,9E,TLH,1330,1321.0,-9.0,1447.0,7.0,86.0,152.0
2018-01-01,9E,ORD,1730,1734.0,4.0,1819.0,-10.0,45.0,152.0
2018-01-01,9E,MLI,2031,2024.0,-7.0,2126.0,-9.0,62.0,208.0
2018-01-01,9E,ORD,1200,1158.0,-2.0,1436.0,44.0,158.0,537.0
2018-01-01,9E,MIA,1300,1250.0,-10.0,1357.0,-23.0,67.0,238.0
