FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,9E,IAH,1125,1236,71,1531,31,175,1310
1/1/2018,9E,DFW,2155,2151,-4,2308,-9,77,223
1/1/2018,9E,BOS,710,725,15,1118,12,173,1149
1/1/2018,9E,PBI,1730,1847,77,2220,65,153,1020
1/1/2018,9E,DFW,1339,1335,-4,1445,-3,70,95
1/1/2018,9E,LAS,910,923,13,1101,-6,98,449
1/1/2018,9E,LAS,635,628,-7,740,-8,72,74
1/1/2018,9E,PHL,1500,1451,-9,1609,-34,78,431
1/1/2018,9E,IAH,1800,1753,-7,1957,-16,124,541
1/1/2018,9E,LAX,715,710,-5,825,-24,75,198
1/1/2018,9E,IAH,1800,1800,"
",1918,-5,78,198
1/1/2018,9E,FLL,850,844,-6,1105,16,141,585
1/1/2018,9E,ORD,1210,1200,-10,1310,-26,70,296
1/1/2018,9E,RSW,1704,1704,"
",1854,4,110,288
1/1/2018,9E,ORD,930,926,-4,1100,-44,154,888
1/1/2018,9E,ORD,600,604,4,747,-2,103,340
1/1/2018,9E,FLL,1600,1718,78,1854,47,156,888
1/1/2018,9E,ATL,615,611,-4,721,-17,70,207
1/1/2018,9E,ACY,815,902,47,1219,58,137,651
1/1/2018,9E,SEA,1505,1547,42,1713,23,86,386
1/1/2018,9E,BOS,1455,1449,-6,1710,-19,141,945
1/1/2018,9E,FLL,1810,1802,-8,2023,-23,141,945
1/1/2018,9E,SJU,700,657,-3,1031,28,154,616
1/1/2018,9E,ORD,1038,1100,22,1200,20,120,616
1/1/2018,9E,MCO,1320,1433,73,1557,67,84,187
1/1/2018,9E,ATL,1125,1121,-4,1250,-8,89,378
1/1/2018,9E,CLE,1500,1509,9,1630,-5,81,187
1/1/2018,9E,ATL,1345,1353,8,1543,3,110,509
1/1/2018,9E,MCO,1502,1456,-6,1626,-26,90,399
1/1/2018,9E,RSW,1525,1714,109,1809,81,55,236
1/1/2018,9E,ACY,700,650,-10,744,-31,54,175
1/1/2018,9E,LAS,710,706,-4,1030,1,144,888
1/1/2018,9E,PDX,622,620,-2,729,-24,69,236
1/1/2018,9E,FLL,955,1002,7,1233,-19,151,818
1/1/2018,9E,ACY,1910,1912,2,2008,-2,56,152
1/1/2018,9E,LAX,600,557,-3,715,-9,78,229
1/1/2018,9E,PHL,1235,1339,64,1528,63,109,453
1/1/2018,9E,FLL,930,925,-5,1107,-21,162,764
1/1/2018,9E,BWI,1520,1523,3,1656,-21,93,449
1/1/2018,9E,TPA,2200,2156,-4,2253,-6,57,164
1/1/2018,9E,RSW,900,1729,509,1936,496,127,818
1/1/2018,9E,CAK,1230,1330,60,1511,46,101,501
1/1/2018,9E,LAS,705,658,-7,810,-23,72,228
1/1/2018,9E,PIT,615,642,27,813,49,91,164
1/1/2018,9E,LAS,1200,1157,-3,1303,-15,66,201
1/1/2018,9E,SEA,1330,1324,-6,1510,15,106,201
1/1/2018,9E,ORD,1500,1456,-4,1606,-12,70,306
1/1/2018,9E,MYR,835,832,-3,1124,6,112,456
1/1/2018,9E,BWI,2015,2025,10,2136,-15,71,229
1/1/2018,9E,FLL,700,843,103,1008,82,85,377
1/1/2018,9E,MSY,2000,2019,19,2108,-2,109,533
1/1/2018,B6,ACY,1055,1127,32,1519,74,232,1069
1/1/2018,B6,MCO,1110,1138,28,1630,32,232,1598
1/1/2018,B6,BWI,1700,1725,25,2045,37,260,1598
1/1/2018,B6,PHL,725,720,-5,1032,2,192,1065
1/1/2018,B6,LAX,1321,1400,39,1722,62,202,1065
1/1/2018,B6,ACY,1905,1905,0,2135,-8,330,2173
1/1/2018,B6,DTW,2234,2232,-2,618,13,286,2173
1/1/2018,B6,IAH,2101,2103,2,454,-18,291,2465
1/1/2018,B6,TPA,700,651,-9,1503,-23,312,2586
1/1/2018,B6,DTW,1355,1400,5,1502,-2,62,187
1/1/2018,B6,RSW,1610,1616,6,1925,-20,369,2588
1/1/2018,B6,MSP,2100,2059,-1,510,-5,311,2588
1/1/2018,B6,MSP,1032,1059,27,1429,30,210,1197
1/1/2018,B6,LAX,600,600,0,1414,-2,314,2475
